lin_acc_x, lin_acc_y, lin_acc_z
9.81,-0.0,-0.0
9.81,-0.0,-0.0
9.81,0.0,-0.0
9.816,-9.16,0.367
9.864,-25.116,1.124
9.999,-22.759,0.463
10.152,-6.781,-0.973
10.224,0.248,-0.493
10.243,0.456,0.16
10.25,0.415,-0.252
10.24,0.445,-0.266
10.223,0.643,-0.086
10.2,1.045,-0.112
10.136,2.222,-0.2
10.021,4.135,-0.263
9.909,5.647,-0.157
9.835,6.236,0.001
9.791,6.247,0.082
9.765,5.982,0.106
9.747,5.626,0.102
9.741,5.207,0.089
9.701,4.618,0.076
9.56,4.128,0.056
9.416,3.893,0.034
9.378,3.67,0.025
9.372,3.554,0.025
9.353,3.603,0.024
9.375,3.437,0.02
9.433,3.083,0.014
9.478,2.806,0.009
9.508,2.623,0.006
9.529,2.491,0.004
9.547,2.381,0.003
9.562,2.289,0.002
9.573,2.218,0.002
9.584,2.154,0.002
9.593,2.096,0.001
9.601,2.046,0.001
9.609,1.998,0.001
9.617,1.954,0.001
9.624,1.912,0.001
9.631,1.871,0.001
9.638,1.832,0.001
9.645,1.793,0.001
9.652,1.755,0.001
9.659,1.718,0.001
9.666,1.684,0.001
9.674,1.652,0.001
9.682,1.621,0.001
9.691,1.59,0.001
9.702,1.559,0.001
9.714,1.523,0.002
9.728,1.483,0.002
9.746,1.436,0.003
9.767,1.379,0.004
9.795,1.303,0.005
9.835,1.217,0.007
9.888,1.078,0.009
9.946,0.878,0.013
10.034,0.612,0.019
10.151,0.311,0.028
10.314,-0.125,0.041
10.554,-0.777,0.064
10.888,-1.679,0.103
11.347,-2.892,0.168
11.97,-4.465,0.276
12.777,-6.408,0.442
12.557,-5.034,0.026
10.938,0.43,-0.658
9.98,3.512,-0.41
8.663,7.383,-0.33
7.422,11.332,-0.324
8.779,8.153,0.28
9.756,5.538,0.136
8.975,6.911,-0.211
8.058,8.135,-0.107
7.218,9.128,-0.051
6.467,9.917,-0.019
5.774,10.559,0.02
5.132,11.142,0.056
4.517,11.756,0.093
3.902,12.463,0.137
3.248,13.312,0.196
4.284,11.542,0.153
7.409,6.517,-0.041
9.458,3.265,-0.136
9.768,2.835,-0.06
9.674,3.064,0.006
9.528,3.38,0.019
9.465,3.571,0.019
7.49,6.317,0.011
4.127,10.802,0.034
3.381,11.554,0.078
4.295,9.996,0.068
4.832,9.201,0.034
5.072,9.232,0.051
4.91,9.947,0.097
6.521,8.263,-0.096
10.142,3.752,-0.383
12.2,0.928,-0.257
12.562,0.039,0.01
12.842,-0.919,0.099
12.939,-1.795,0.136
12.264,-1.453,0.138
10.892,0.33,0.075
8.746,4.203,-0.053
6.664,8.377,-0.093
6.994,7.85,0.014
8.26,5.401,0.043
8.606,4.717,0.003
8.679,4.573,0.0
8.701,4.531,0.0
8.707,4.519,-0.0
8.709,4.516,-0.0
8.709,4.515,-0.0
8.71,4.514,-0.0
8.71,4.514,-0.0
8.71,4.514,-0.0
8.71,4.513,-0.0
8.711,4.511,-0.0
8.714,4.507,-0.0
8.718,4.498,-0.0
8.724,4.486,-0.0
8.733,4.47,-0.0
8.756,4.423,-0.0
8.753,4.429,-0.0
8.71,4.514,-0.0
8.695,4.543,-0.0
8.69,4.551,0.0
8.66,4.609,-0.0
8.624,4.676,-0.0
8.604,4.712,-0.0
8.619,4.685,-0.0
8.654,4.62,-0.0
8.695,4.543,-0.0
