time, lin_acc_x, lin_acc_y, lin_acc_z, ang_vel_x, ang_vel_y, ang_vel_z
0.0,9.81,-2.1197915e-08,-1.9896243e-06,9.597736e-07,-4.294833e-15,1.0788224e-07
0.016666668,9.81,-6.8140857e-06,-1.9896243e-06,1.0165222e-06,-8.504503e-15,2.1287228e-08
0.033333335,9.81,-6.3556013e-06,-1.9896245e-06,8.165103e-07,-7.80856e-15,-1.3899279e-07
0.050000004,9.81,5.5749024e-07,-1.9896243e-06,9.672019e-07,-9.531769e-15,-2.741985e-07
0.06666667,9.81,3.0059664e-06,-1.9896243e-06,-2.1541416e-07,-1.8956665e-13,-2.7689298e-06
0.083333336,9.819527,-8.980504,0.35255396,2.7020452,0.004581912,0.043790746
0.10000001,9.886043,-24.829342,1.104214,4.7724905,0.014534426,-0.048606973
0.116666675,10.033708,-22.821548,0.48654813,4.80092,0.022784268,-0.37047887
0.13333334,10.175462,-7.0390835,-0.93929034,4.8025446,0.07974277,-0.38504982
0.15,10.238446,0.109441504,-0.70296335,4.7897763,0.11395326,-0.39802545
0.16666667,10.2541275,0.40119234,-0.0602875,4.78496,0.15027712,-0.38665456
0.18333334,10.253805,0.46878394,-0.06150641,4.7796736,0.18428023,-0.36967924
0.20000002,10.242356,0.53410506,-0.06855649,4.7679405,0.21652721,-0.3579513
0.21666668,10.227136,0.7043401,-0.085366756,4.738722,0.24748968,-0.35653263
0.23333335,10.198977,1.2220691,-0.12668948,4.616588,0.2735103,-0.37367234
0.25,10.122139,2.6181445,-0.22430485,4.3022895,0.2880894,-0.4175331
0.26666668,9.999216,4.5729933,-0.2574445,3.907284,0.2960133,-0.47909385
0.28333336,9.8902025,5.91577,-0.123511285,3.4966435,0.30009845,-0.5544729
0.3,9.822085,6.3369384,0.028699532,3.106931,0.3024092,-0.6419966
0.3166667,9.781534,6.252532,0.09454956,2.7533011,0.3042095,-0.7417402
0.33333334,9.756739,5.943802,0.10926987,2.4405158,0.30633113,-0.8543323
0.35000002,9.738783,5.577619,0.09991496,2.1671875,0.30926666,-0.981235
0.36666667,9.748208,4.9318366,0.09456229,2.007009,0.35500592,-0.020194577
0.38333336,9.664906,4.198405,0.07443469,1.8048165,0.29080755,-0.0090361275
0.40000004,9.430416,4.0476174,0.034319434,1.630876,0.26377591,-0.004059398
0.4166667,9.329545,3.9242015,0.02631808,1.4825484,0.24130186,-0.005039187
0.43333337,9.365161,3.6652367,0.03255695,1.3302907,0.21815674,-0.0048078108
0.45000002,9.374325,3.5971668,0.028431071,1.1836203,0.19543862,-0.004658087
